pop	subspecies	julian_date	indiv	sexM1F2	weight	total_length 	tail_length
WSCM	zuniensis	214	WSCM02	1	660	34.9	6.9
WSCM	zuniensis	214	WSCM05	1	870	34.7	7.2
WSCM	zuniensis	214	WSCM07	1	640	33.3	6.4
WSCM	zuniensis	214	WSCM08	1	1150	38.6	7.8
WSCM	zuniensis	214	WSCM09	1	650	35	7.4
WSCM	zuniensis	214	WSCM10	1	720	35.9	7.4
WSCM	zuniensis	214	WSCM12	1	580	32.5	6.8
WSCM	zuniensis	214	WSCM13	1	770	36.7	7.6
WSCM	zuniensis	215	WSCM14	1	665	34.7	7.5
WSCM	zuniensis	215	WSCM17	1	600	33.7	6.7
WSCM	zuniensis	215	WSCM19	1	1180	38.7	6.6
WSCM	zuniensis	218	WSCM24	1	1100	39.6	8.4
WSCM	zuniensis	218	WSCM25	1	690	36.2	7.6
ABVY	zuniensis	258	ABVY93-56	2	700		
ABVY	zuniensis	258	ABVY100-46	2	775		
ABVY	zuniensis	258	ABVY104-43	2	525		
ABVY	zuniensis	240	ABVY106-9	2	700		
ABVY	zuniensis	261	ABVY107-67	2	550		
ABVY	zuniensis	261	ABVY108-66	2	775		
ABVY	zuniensis	258	ABVY110-48	2	550		
ABVY	zuniensis	258	ABVY115-44	2	500		
ABVY	zuniensis	261	ABVY116-61	2	650		
ABVY	zuniensis	240	ABVY121-10	2	625		
ABVY	zuniensis	258	ABVY122-50	2	600		
ABVY	zuniensis	258	ABVY123-42	2	625		
AGFP	zuniensis	197	AGFP02	2	535	32.6	6.5
AGFP	zuniensis	197	AGFP15	2	570	33.4	7.6
BBM	zuniensis	208	BBM01	2	725	37.2	7
BBM	zuniensis	208	BBM02	2	725	36.9	8.4
BBM	zuniensis	209	BBM04	2	730	31.6	7.1
BBM	zuniensis	211	BBM05	2	640	34.1	7.7
BBM	zuniensis	211	BBM06	2	365	30.1	6.7
BBM	zuniensis	211	BBM08	2	355	30	6.4
BBM	zuniensis	212	BBM11	2	365	30.6	7
BBM	zuniensis	212	BBM12	2	370	30	7.6
BBM	zuniensis	212	BBM13	2	405	30.9	7.5
BBM	zuniensis	212	BBM15	2	690	37.2	8.9
BBM	zuniensis	212	BBM16	2	645	37.7	9
BBM	zuniensis	212	BBM17	2	550	33.8	7.3
BBM	zuniensis	212	BBM18	2	425	32.1	7.7
BBM	zuniensis	213	BBM25	2	370	31	6.9
BLS	zuniensis	139	BLS01	2	770	40	8.5
BLS	zuniensis	140	BLS02	2	850	35.9	6.6
BLS	zuniensis	143	BLS06	2	760	34.5	7
BLS	zuniensis	145	BLS07	2	680	35.5	7.2
C2MS	zuniensis	204	C2MS01	2	700	35.5	6.5
CBAR	zuniensis	217	CBAR01	2	850	37	7
CBAR	zuniensis	217	CBAR05	2	490	31.5	7
CBAR	zuniensis	217	CBAR06	2	500	31	7
CBAR	zuniensis	217	CBAR07	2	480	32	6
CBAR	zuniensis	217	CBAR10	2	510	31	7
CBAR	zuniensis	217	CBAR12	2	740	36.5	7
